-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     521.118us         0.05%     521.118us      24.815us            21  
triton_red_fused__to_copy_add_mean_moe_forward_share...         0.00%       0.000us         0.00%       0.000us       0.000us     495.485us         0.05%     495.485us       1.998us           248  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     478.846us         0.05%     478.846us      22.802us            21  
              triton_per_fused__to_copy_mean_pow_view_0         0.00%       0.000us         0.00%       0.000us       0.000us     466.687us         0.05%     466.687us       0.945us           494  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us     454.816us         0.05%     454.816us      21.658us            21  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     407.071us         0.04%     407.071us      19.384us            21  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     392.511us         0.04%     392.511us       1.308us           300  
                                         aten::scatter_         0.03%     378.495us         0.04%     559.679us      27.984us     388.031us         0.04%     388.031us      19.402us            20  
                                     triton_poi_fused_7         0.00%       0.000us         0.00%       0.000us       0.000us     353.759us         0.04%     353.759us       1.426us           248  
                               triton_poi_fused_zeros_5         0.00%       0.000us         0.00%       0.000us       0.000us     334.144us         0.03%     334.144us       0.676us           494  
triton_poi_fused__to_copy__unsafe_view_add_clone_mar...         0.00%       0.000us         0.00%       0.000us       0.000us     324.382us         0.03%     324.382us       1.313us           247  
void flashinfer::PersistentVariableLengthMergeStates...         0.00%       0.000us         0.00%       0.000us       0.000us     309.600us         0.03%     309.600us       1.290us           240  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     292.896us         0.03%     292.896us       1.181us           248  
                                     triton_red_fused_6         0.00%       0.000us         0.00%       0.000us       0.000us     271.456us         0.03%     271.456us       1.095us           248  
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us     266.239us         0.03%     266.239us       1.173us           227  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     261.120us         0.03%     261.120us       1.293us           202  
                    merge_16x16_to_64x64_inverse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     238.975us         0.02%     238.975us      11.380us            21  
                                     triton_per_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     233.278us         0.02%     233.278us       0.944us           247  
                                              aten::sub         0.13%       1.946ms         0.28%       4.018ms      18.264us     201.375us         0.02%     201.375us       0.915us           220  
                                     chunk_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us     183.680us         0.02%     183.680us       8.747us            21  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     176.992us         0.02%     176.992us       4.214us            42  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     173.183us         0.02%     173.183us       1.665us           104  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     145.023us         0.01%     145.023us       6.906us            21  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     136.191us         0.01%     136.191us       0.926us           147  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     129.920us         0.01%     129.920us       2.062us            63  
                               recompute_w_u_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     122.688us         0.01%     122.688us       5.842us            21  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     120.096us         0.01%     120.096us       4.141us            29  
                                           aten::argmax         0.03%     457.790us         0.07%     993.534us      49.677us     119.552us         0.01%     119.552us       5.978us            20  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     118.848us         0.01%     118.848us       5.659us            21  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     118.528us         0.01%     118.528us       5.644us            21  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     118.400us         0.01%     118.400us       5.638us            21  
                                             aten::div_         0.03%     387.616us         0.06%     925.324us      23.133us     118.272us         0.01%     118.272us       2.957us            40  
                                            aten::index         0.05%     759.247us         0.14%       2.073ms     103.672us     113.280us         0.01%     158.943us       7.947us            20  
                                               aten::lt         0.03%     435.263us         0.05%     707.950us      17.699us     113.120us         0.01%     113.120us       2.828us            40  
                                           aten::cumsum         0.05%     655.771us         0.09%       1.250ms      62.508us     107.582us         0.01%     107.582us       5.379us            20  
void at_cuda_detail::cub::detail::scan::DeviceScanKe...         0.00%       0.000us         0.00%       0.000us       0.000us      96.286us         0.01%      96.286us       4.585us            21  
at::native::(anonymous namespace)::fill_reverse_indi...         0.00%       0.000us         0.00%       0.000us       0.000us      95.264us         0.01%      95.264us       4.536us            21  
void at_cuda_detail::cub::detail::radix_sort::Device...         0.00%       0.000us         0.00%       0.000us       0.000us      95.199us         0.01%      95.199us       4.533us            21  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      92.864us         0.01%      92.864us       2.211us            42  
                                     aten::masked_fill_         0.02%     270.047us         0.04%     632.316us      15.808us      88.320us         0.01%      88.320us       2.208us            40  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      70.464us         0.01%      70.464us       1.174us            60  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      66.304us         0.01%      66.304us       3.157us            21  
triton_red_fused__to_copy_add_copy__mean_mul_pow_rsq...         0.00%       0.000us         0.00%       0.000us       0.000us      65.536us         0.01%      65.536us       3.121us            21  
                        chunk_scaled_dot_kkt_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      64.351us         0.01%      64.351us       3.064us            21  
                                     l2norm_fwd_kernel2         0.00%       0.000us         0.00%       0.000us       0.000us      62.079us         0.01%      62.079us       1.478us            42  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      61.120us         0.01%      61.120us       2.910us            21  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      60.960us         0.01%      60.960us       1.016us            60  
                                     aten::exponential_         0.02%     298.942us         0.05%     694.445us      34.722us      57.856us         0.01%      57.856us       2.893us            20  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      57.856us         0.01%      57.856us       2.755us            21  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      57.184us         0.01%      57.184us       2.723us            21  
                                               aten::le         0.01%     169.406us         0.02%     285.070us      14.253us      55.488us         0.01%      55.488us       2.774us            20  
void flashinfer::BatchPrefillWithPagedKVCacheKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      50.304us         0.01%      50.304us       6.288us             8  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      36.640us         0.00%      36.640us       1.745us            21  
                                     aten::index_select         0.07%       1.030ms         0.11%       1.650ms      41.261us      36.064us         0.00%      36.064us       0.902us            40  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      36.064us         0.00%      36.064us       1.803us            20  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us      35.936us         0.00%      35.936us       1.797us            20  
                                           aten::gather         0.03%     450.494us         0.05%     758.446us      37.922us      34.912us         0.00%      34.912us       1.746us            20  
                       chunk_local_cumsum_scalar_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      34.815us         0.00%      34.815us       1.658us            21  
                                fused_gdn_gating_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      31.808us         0.00%      31.808us       1.515us            21  
                              _copy_page_indices_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      28.448us         0.00%      28.448us       1.422us            20  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.453s
Self CUDA time total: 996.184ms

